#This file contains tabulated data of a Bacillus subtilis transformation 
#experiment conducted on October 1st, 2015. As this data is still unpublished
#please ensure that it is not released into the wild. 
#
#An IPTG-inducible hyper-competent strain of Bacillus subtilis was incubated
#with varying concentrations of DNA containing a YFP gene whose expression
#is driven by the endogenous CitB promoter. After 1 hour of incubation, the DNA
#was removed from the sample and the cells were allowed to express the YFP for
#one hour at 37 C. Cells were then spread onto agarose pads containing 100µM IPTG
#and imaged under phase-contrast and fluorescence. Cells that were expressing a
#CFP reporter of competence were segmented computationally and the mean pixel
#intensity of each cell was computed. 
#
#Growth conditions = aerobic (flask growth)
#Data reported = mean pixel values for each segmented cell.
#
0 plasmids/cell,10^1 plasmids/cell,10^2 plasmids/cell,10^3 plasmids/cell,10^4 plasmids/cell,10^5 plasmids/cell
107.73724884080372,105.09779179810725,106.8452380952381,104.48535564853556,169.43824228028504,111.04633867276888
109.84379358437936,102.07556675062972,106.57692307692308,104.13662239089184,117.83728278041075,215.60708534621577
107.53322784810126,102.93793103448276,106.52235772357723,105.6234096692112,150.43223443223442,115.5412960609911
107.87528868360278,103.76548672566372,106.48066298342542,104.07821229050279,115.59705882352941,141.71761658031087
109.09401709401709,105.12111801242236,104.89580973952435,102.78873239436619,132.90528634361235,107.34599156118144
107.54372623574145,104.66283524904215,106.4002478314746,104.26066897347174,157.6039697542533,163.62062062062063
108.55407969639468,103.24423076923077,105.75202156334232,104.3962962962963,103.34807692307692,179.65
110.47368421052632,103.46376811594203,104.59518348623853,105.99270072992701,108.46296296296296,112.56868131868131
108.15938511326861,103.57872928176796,104.50503597122302,103.60910518053375,280.6058301647655,179.6018396846255
107.30423940149626,105.02290076335878,107.24881141045958,104.06308411214954,138.43305439330544,136.2624633431085
107.32459425717853,103.30184331797236,104.85,103.11958762886599,103.66981132075472,164.72355430183356
108.71666666666667,103.99001996007983,103.61922365988909,102.67518248175182,109.8721590909091,126.37835820895522
108.81619937694704,103.6384479717813,105.70281690140845,105.53444180522565,108.55623100303951,110.18021680216802
111.99305555555556,105.25544794188862,105.91153846153846,103.84825493171472,121.40515653775323,407.7887740029542
107.30379746835443,104.92384105960265,107.53441295546558,103.51515151515152,129.41187384044528,107.49352750809061
106.84466019417475,103.2555720653789,106.64827586206897,104.40419580419581,108.18573185731857,118.47982708933718
108.00591715976331,103.3358633776091,106.68894952251023,105.45878136200717,119.09820193637621,104.37878787878788
105.15384615384616,104.5837037037037,102.65685019206146,103.75306479859896,556.0753045404208,243.40715502555366
107.62371888726207,104.95302013422818,105.5046904315197,104.55267175572519,183.6576964477933,128.9294403892944
110.14318181818182,103.01397205588822,106.19059405940594,106.29741379310344,215.36352941176472,111.98884239888424
110.76051779935275,103.91788321167883,106.43589743589743,105.92214111922141,450.7673325499413,122.68734491315136
110.62857142857143,104.92035398230088,106.44052863436123,103.025,112.40224719101124,135.69729206963248
107.81460674157303,103.67436974789916,104.95635910224439,104.69248291571753,123.58564231738035,110.70619946091644
109.66011235955057,103.936,108.17539267015707,104.5933484504913,111.47463175122749,170.67863247863247
107.19959266802444,103.88505747126437,108.7608286252354,105.22022838499184,261.63787375415285,132.36559139784947
110.12371134020619,103.18599033816425,106.48915187376726,104.53697183098592,176.6560934891486,131.9636209813875
107.30823529411765,103.47887323943662,106.87004754358162,104.79613733905579,114.58699808795411,357.1743515850144
108.47531992687385,103.14660493827161,106.07705934455271,103.54427645788337,113.65899280575539,119.77622377622377
