#This file contains tabulated data of a Bacillus subtilis transformation 
#experiment conducted on October 1st, 2015. As this data is still unpublished
#please ensure that it is not released into the wild. 
#
#An IPTG-inducible hyper-competent strain of Bacillus subtilis was incubated
#with varying concentrations of DNA containing a YFP gene whose expression
#is driven by the endogenous CitB promoter. After 1 hour of incubation, the DNA
#was removed from the sample and the cells were allowed to express the YFP for
#one hour at 37 C. Cells were then spread onto agarose pads containing 100µM IPTG
#and imaged under phase-contrast and fluorescence. Cells that were expressing a
#CFP reporter of competence were segmented computationally and the mean pixel
#intensity of each cell was computed. 
#
#Growth conditions = anaerobic (tube growth)
#Data reported = mean pixel values for each segmented cell.
#
0 plasmids/cell,10^1 plasmids/cell,10^2 plasmids/cell,10^3 plasmids/cell,10^4 plasmids/cell,10^5 plasmids/cell
105.2125,104.23873873873873,103.06666666666666,102.9890243902439,112.56773211567732,108.00890868596882
104.51125401929261,103.9186189889026,103.36322869955157,103.04584527220631,103.78254437869822,104.36191860465117
106.05162523900573,103.95360824742268,102.55503512880563,103.90847913862719,104.41521394611728,104.71289537712896
103.63424124513618,103.37152777777777,102.9735294117647,103.53536754507628,101.86741016109046,177.96682027649769
104.88289676425269,104.41545893719807,103.84074605451937,103.62236286919831,159.85536547433904,104.0926640926641
104.66292134831461,103.83434835566382,102.65873015873017,104.68034825870647,104.2860824742268,101.64551083591331
104.32448979591837,104.08359621451105,102.55258126195028,104.5170731707317,104.51894563426688,101.7984886649874
103.56878306878306,103.43465491923642,104.1986301369863,104.8257790368272,104.95411605937922,104.47483588621444
104.87323943661971,103.50061349693252,104.41054091539529,104.01674641148325,101.73623188405797,220.14454976303318
104.55437665782493,104.382762991128,102.56653992395437,104.7103825136612,103.92477064220184,112.34693877551021
105.64229249011858,104.78653530377669,103.0625,103.02616279069767,104.21483375959079,103.08243727598567
103.95641646489103,102.38868479059515,104.58791208791209,105.14380530973452,102.37063953488372,102.78048780487805
103.90224358974359,103.93564356435644,103.07321428571429,103.6978527607362,101.6919014084507,103.07751937984496
104.92344497607655,104.8109756097561,103.75048355899419,192.25115207373273,140.02207505518763,104.36863823933976
104.6405451448041,104.57121212121213,104.4148244473342,104.72413793103448,103.45930232558139,104.2106631989597
104.59032716927453,104.10729023383769,103.33386327503975,104.40425531914893,101.72121212121212,192.73076923076923
105.72709551656921,104.67891156462585,103.271714922049,104.43687707641196,103.71382113821139,103.72363945578232
105.86083499005964,102.67674113009198,103.16157205240175,103.81374321880651,103.26910828025478,102.42440801457195
105.35951134380454,103.62064825930372,104.37981407702523,102.55625990491284,106.33653846153847,103.42668136714443
102.86156351791531,103.98370927318295,102.6891495601173,108.42827868852459,104.63428571428571,134.10992907801418
104.9450915141431,104.62934947049925,103.47765006385696,106.03054662379421,103.86445012787723,109.13636363636364
106.25931677018633,104.37373737373737,103.04303797468354,104.52415458937197,103.2395104895105,156.4047976011994
102.53386454183267,104.56565656565657,104.3,104.62798634812286,103.65031446540881,137.88935721812433
105.25777777777778,103.54104979811575,103.20689655172414,104.4099560761347,103.83224755700326,102.66744730679157
105.25,104.22012578616352,103.70722433460077,104.60040983606558,103.40794223826715,104.60720411663807
103.17584369449378,102.64395229982964,103.80901856763926,105.01018922852984,102.15973377703827,104.2176759410802
104.17270531400966,104.57286432160804,104.20481927710843,103.80034423407918,140.0161943319838,104.80380952380952
105.88905775075987,104.70066225165563,103.50759219088937,105.0233644859813,103.03291139240507,104.09113607990012
106.52479338842976,104.48016701461378,103.90424242424243,103.67095115681234,178.97772567409143,104.10159817351598
105.48868175765645,103.62164750957854,103.58490566037736,105.03076923076924,106.18697478991596,102.50175438596492
103.6257088846881,103.00151285930409,103.41994750656168,105.33268101761253,120.08832335329342,102.78066914498142
